cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.0,0,3.8066669965778065e-06,1,0,0,0,39.06666996577807,1,0.0
1,0.006226709345967015,2,0.005178970448844107,3,0,0,0,0.8317374374403307,4,0.0
2,3.8083849210807435e-06,1,1.142000098973342e-05,3,0,0,0,2.9475093222261024,3,0.0
3,7.616769842161487e-06,2,3.8066669965778065e-06,1,0,0,0,0.5062567727798837,3,0.0
4,0.0,0,7.613333993155613e-06,2,0,0,0,77.13333993155614,2,0.0
5,0.0023059770697143904,2,0.0017453568179309242,3,0,0,0,0.7568943990874948,3,0.0
6,2.475450198702483e-05,5,5.710000494866709e-06,1,0,0,0,0.23376048725095322,5,0.0
7,3.8083849210807435e-06,1,3.8066669965778065e-06,1,0,0,0,0.9995604515579641,2,0.0
8,3.8083849210807435e-06,1,3.8066669965778065e-06,1,0,0,0,0.9995604515579641,2,0.0
9,0.0011406112838636827,2,0.0008355634057488285,1,0,0,0,0.7325809936045937,2,0.0
10,0.0009559046151912666,2,0.0006204867204421824,1,0,0,0,0.6491461553436355,2,0.0
11,1.7137732144863347e-05,4,0.0,0,0,0,0,0.0058012271660572755,4,0.0
12,9.520962302701859e-06,2,0.0,0,0,0,0,0.01039397067088777,2,0.0
13,0.0008111859881901984,2,0.0006357133884284937,1,0,0,0,0.7837105505135794,2,0.0
14,4.570061905296892e-05,7,5.329333795208929e-05,12,0,0,0,1.16577764790339,16,0.0
15,3.8083849210807435e-06,1,3.8066669965778065e-06,1,0,0,0,0.9995604515579641,2,0.0
16,0.001409102420799875,57,0.0010335100895708744,59,10,4,8,0.7334716959854418,91,0.08791208791208792
17,8.75928531848571e-05,19,7.232667293497833e-05,17,0,0,0,0.8259130625195013,33,0.0
18,1.5233539684322974e-05,4,3.8066669965778065e-06,1,0,0,0,0.2547792014763549,5,0.0
19,1.7137732144863347e-05,4,1.5226667986311226e-05,4,0,0,0,0.8891348268732905,8,0.0
20,1.142515476324223e-05,2,1.713000148460013e-05,4,0,0,0,1.494990899345895,5,0.0
21,0.0007388266746896643,4,0.0005081900440431371,2,0,0,0,0.6878761607254328,4,0.0
