cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.006226709345967015,2,0.005196100450328706,3,0,0,0,0.8344884453053288,4,0.0
1,0.00245831246655762,29,0.0018919134972991698,24,0,0,0,0.7696078355592024,48,0.0
2,0.0015995216668539124,2,0.0012010034374202979,2,0,0,0,0.7508671971057955,3,0.0
3,0.0012662879862593472,32,0.0009535700826427406,22,0,0,0,0.7530631157199209,49,0.0
4,0.0012491502541144839,41,0.0008641134082231621,28,0,0,0,0.6917856573387287,64,0.0
5,0.0010168387739285586,14,0.0005062867105448483,19,0,0,0,0.49795201395322414,31,0.0
6,0.0012015454426009746,35,0.0015626368020951896,48,23,11,16,1.3004974235267175,72,0.2222222222222222
7,0.0008835453016907324,12,0.0007099433948617609,12,0,0,0,0.8035389239360993,21,0.0
8,0.0009006830338355958,15,0.0006128733864490269,24,0,0,0,0.6804894890603614,35,0.0
9,0.0017651864109209246,95,0.0012885567783415873,85,9,4,6,0.7299986961715258,154,0.03896103896103896
10,0.0007559644068345276,4,0.0005405467135140486,2,0,0,0,0.7150802347350477,5,0.0
11,0.0007711979465188505,7,0.0005500633810054929,4,0,0,0,0.7132955344800038,7,0.0
12,0.0015043120438268936,133,0.0014826967951670556,110,24,18,11,0.9856320954431782,226,0.048672566371681415
13,0.002418324424886272,286,0.0018728801623162808,242,0,0,0,0.7744629697925579,490,0.0
14,0.0009387668830464032,52,0.005700483827375265,64,0,0,0,6.071770056345161,106,0.0
15,0.0035170434746180667,434,0.0033137036205209804,474,0,0,0,0.9421860792530884,842,0.0
16,0.0008226111429534405,37,0.0005405467135140486,34,0,0,0,0.6571525354247514,65,0.0
17,0.0006055332024518383,5,0.00041873336962355867,5,0,0,0,0.691562760971424,7,0.0
18,0.0005845870853858941,4,0.0003254700282074024,7,0,0,0,0.5568278081472005,10,0.0
19,0.0006340960893599438,24,0.0006471333894182271,29,0,0,0,1.020557206638472,51,0.0
20,0.0007064554028604779,41,0.0007746567338035836,41,0,0,0,1.0965265153546258,75,0.0
21,0.0005103235794248196,6,0.0003368900291971359,8,0,0,0,0.6602164217744005,11,0.0
22,0.0010891980874290926,78,0.0009611834166358961,101,4,2,3,0.8824796699172304,159,0.018867924528301886
23,0.0004855690774377948,2,0.0003387933626954248,4,0,0,0,0.697786576166836,4,0.0
24,0.0006931260556366953,25,0.0005824200504764044,27,0,0,0,0.8403031676894881,44,0.0
25,0.0010377848909945027,79,0.000689006726380583,69,0,0,0,0.6639529415639531,134,0.0
26,0.0006493296290442668,33,0.0005481600475072041,20,0,0,0,0.8442177920247511,47,0.0
27,0.0023878573455176264,273,0.0019946935062067706,221,0,0,0,0.835355585371383,446,0.0
28,0.0005998206250702171,8,0.0005595800484969375,12,0,0,0,0.9329234987235693,15,0.0
29,0.000927341728283161,23,0.0006395200554250714,21,0,0,0,0.68966063949819,37,0.0
30,0.004516744516401762,672,0.004455703719494323,700,5,1,4,0.9864859645520705,1266,0.00315955766192733
31,0.00040368880163455884,7,0.00027408002375360206,11,0,0,0,0.6790183943777206,17,0.0
32,0.0005560241984777886,43,0.0004282500371150032,31,0,0,0,0.7702416803431211,70,0.0
33,0.00040178460917401844,6,0.00013513667837851214,5,0,0,0,0.33650623908305444,8,0.0
34,0.0004094013790161799,4,0.00039779670114238077,5,0,0,0,0.9716614437253442,7,0.0
35,0.0003979762242529377,10,0.0010278000890760078,13,0,0,0,2.5821690079708954,21,0.0
36,0.004893774623588755,655,0.00428630703814661,570,63,39,38,0.8758718536608769,1105,0.034389140271493215
37,0.00036750914488429176,10,0.0002835966912450466,8,0,0,0,0.7717345860216362,17,0.0
38,0.00034085045043672656,4,0.0001713000148460013,2,0,0,0,0.5027123871707851,4,0.0
39,0.00030847917860754023,3,0.00029882335923135775,2,0,0,0,0.968708778668236,3,0.0
40,0.0003313294881340247,10,0.0007061367278651831,16,3,0,3,2.130880785054323,25,0.12
41,0.0005179403492669812,33,0.0004092167021321142,27,0,0,0,0.7901251373783738,51,0.0
42,0.00029324563892321726,6,0.00027788669075017985,12,0,0,0,0.947642145867873,17,0.0
43,0.0008835453016907325,108,0.0007518167318241168,102,0,0,0,0.8509259658659742,195,0.0
44,0.0002589701746334906,2,0.00014084667887337884,2,0,0,0,0.544048264424022,3,0.0
45,0.0004379642659242855,33,0.0003159533607159579,26,0,0,0,0.7214771559809998,50,0.0
46,0.002361198651070061,269,0.0019832735052170373,245,0,0,0,0.8399502978237163,476,0.0
47,0.0002837246766205154,3,0.0003768600326612028,3,0,0,0,1.3281439695436104,3,0.0
48,0.00032752110321294394,7,0.00022078668580151277,7,1,1,1,0.6742138514134207,8,0.125
49,0.0006836050933339934,67,0.0007936900687864726,76,1,0,1,1.16101236706555,131,0.007633587786259542
50,0.0006398086667415649,75,0.0004073133686338253,69,0,0,0,0.6366742471365282,136,0.0
51,0.0002570659821729502,5,0.0001751066818425791,5,0,0,0,0.681298048684948,9,0.0
52,0.00024564082740970795,3,0.000274080023753602,3,0,0,0,1.1157284145400845,5,0.0
53,0.0002570659821729502,6,0.0001751066818425791,4,0,0,0,0.681298048684948,9,0.0
54,0.00025516178971240984,4,0.00030072669272964667,3,0,0,0,1.1785026386776196,5,0.0
55,0.00023231148018592536,3,0.00013323334488022322,4,0,0,0,0.573695175356909,6,0.0
56,0.0003617965675026706,28,0.00017891334883915691,23,0,0,0,0.49465334826044155,47,0.0
57,0.0007197847500842606,78,0.0006319067214319158,77,0,0,0,0.8779276423871198,139,0.0
58,0.00042082653377942215,38,0.00034640669668858036,39,1,0,1,0.8231999384247894,70,0.014285714285714285
59,0.0002361198651070061,4,0.00015417001336140117,2,0,0,0,0.6530780689910133,4,0.0
60,0.0014567072323133845,230,0.0014674701271807445,236,0,0,0,1.0073880020833428,439,0.0
61,0.002248851295898179,340,0.00203085684267426,329,26,14,15,0.9030683974252732,606,0.024752475247524754
62,0.00020565278573836013,3,0.00021698001880493498,2,0,0,0,1.055052635258017,4,0.0
63,0.0002589701746334905,11,0.00021888335230322385,12,0,0,0,0.8452665483899181,22,0.0
64,0.00019994020835673902,2,0.00020365668431691263,4,0,0,0,1.0185786447169956,5,0.0
65,0.0003046707936864595,22,0.00019794668382204592,15,0,0,0,0.6498217280813048,32,0.0
66,0.00023992825002808684,9,0.0001693966813477124,6,0,0,0,0.7061530521006539,12,0.0
67,0.0002589701746334905,11,0.0002379166872861129,20,0,0,0,0.9187344225279417,27,0.0
68,0.0004227307262399625,47,0.0003521166971834471,40,0,0,0,0.8329969307470789,86,0.0
69,0.0003427546428972669,10,0.0002531433552724241,14,3,1,3,0.7386318386486195,16,0.1875
70,0.0008016650258874965,107,0.0009554734161410294,108,36,18,22,1.1918372406968962,187,0.11764705882352941
71,0.0003160959484497017,26,0.00035211669718344707,18,0,0,0,1.1139190711024411,38,0.0
72,0.00018280247621187568,3,0.0001161033433956231,2,0,0,0,0.6353295253423045,3,0.0
73,0.00017708989883025457,2,5.3293337952089286e-05,3,0,0,0,0.3013339829447014,3,0.0
74,0.00025516178971240984,8,0.00015607334685969007,8,0,0,0,0.6118163906773608,12,0.0
75,0.00024564082740970795,15,0.00018843001633060143,13,0,0,0,0.7671904514925287,26,0.0
76,0.0001808982837513353,3,7.042333943668942e-05,1,0,0,0,0.38963540413221814,3,0.0
77,0.0002018444008172794,6,0.00015607334685969007,2,0,0,0,0.7733482395533052,6,0.0
78,0.0002837246766205154,27,0.00047773670807051475,15,0,0,0,1.6835629437161344,40,0.0
79,0.0038140974984623645,571,0.0033860302934559587,557,43,27,24,0.8877700472566052,1054,0.022770398481973434
80,0.0004703355377534718,20,0.0002893066917399133,13,0,0,0,0.6151888378202727,22,0.0
81,0.00036750914488429176,43,0.00029501669223478,49,0,0,0,0.8028001923827837,89,0.0
82,0.00017137732144863345,4,0.0005139000445380039,2,0,0,0,2.9974811840758435,5,0.0
83,0.00021326955558052165,7,0.0001732033483442902,5,0,0,0,0.8122215368203679,9,0.0
84,0.0001885150535934968,7,0.00014655667936824555,8,0,0,0,0.77754493384351,12,0.0
85,0.0003446588353578073,22,0.00020365668431691265,21,2,1,1,0.591012219035501,40,0.025
86,0.0001942276309751179,9,0.00024362668778097962,19,0,0,0,1.2542050070696682,26,0.0
87,0.00015995216668539123,2,0.0001237166773887787,2,0,0,0,0.7736020071016013,3,0.0
88,0.00019994020835673902,9,0.00014465334586995666,4,0,0,0,0.7236212512427138,11,0.0
89,0.0006702757461102108,105,0.0005177067115345816,84,0,0,0,0.7724126574374207,180,0.0
90,0.00022850309526484461,19,0.0001941400168254681,27,0,0,0,0.8496823571020957,43,0.0
91,0.0001675689365275527,4,0.00012752334438535651,7,0,0,0,0.7611627235697557,9,0.0
92,0.0013100844128517758,187,0.0015226667986311226,221,1,0,1,1.1622537893857516,357,0.0028011204481792717
